id,english_title,japanese_title,brightness
1,Fullmetal Alchemist,鋼の錬金術師,0.6
2,Naruto,ナルト,0.51
3,Dragon Ball Z,ドラゴンボールZ,0.57
4,One Piece,ワンピース,0.67
5,Demon Slayer,鬼滅の刃,0.41
